iter	Passed	Remaining
240	81593	121544
241	81873	121118
242	82080	120587
243	82287	120059
244	82749	119901
245	83029	119481
246	83370	119148
247	83838	118997
248	84426	119011
249	84937	118912
250	85238	118518
251	85511	118087
252	85796	117673
253	86085	117265
254	86571	117126
255	86900	116773
256	87199	116379
257	87538	116039
258	88002	115864
259	88321	115496
260	88592	115067
261	88972	114781
262	89246	114357
263	89509	113921
264	89749	113456
265	90086	113115
266	90324	112651
267	90605	112242
268	90856	111797
269	91154	111411
270	91613	111220
271	92148	111120
272	92593	110908
273	93048	110707
274	93417	110402
275	93764	110071
276	94022	109636
277	94651	109632
278	94924	109214
279	95458	109095
280	95883	108849
281	96134	108407
282	96367	107945
283	96576	107457
284	96808	106998
285	97193	106709
286	97440	106267
287	97686	105826
288	97937	105392
289	98208	104981
290	98478	104570
291	98770	104182
292	99282	104026
293	99652	103720
294	100206	103603
295	100771	103494
296	101216	103261
297	101580	102943
298	101890	102572
299	102150	102150
300	102417	101736
301	102729	101368
302	103058	101018
303	103319	100600
304	103745	100343
305	104159	100074
306	104561	99792
307	104883	99435
308	105142	99018
309	105472	98668
310	105721	98243
311	105925	97777
312	106186	97365
313	106394	96907
314	106652	96494
315	106900	96074
316	107414	95893
317	107771	95570
318	108055	95183
319	108301	94764
320	108539	94338
321	108797	93930
322	109033	93505
323	109257	93071
324	109514	92666
325	109743	92238
326	110203	92004
327	110471	91610
328	110776	91247
329	110990	90810
330	111344	90488
331	111617	90100
332	111882	89707
333	112156	89322
334	112420	88929
335	112646	88508
336	112874	88089
337	113121	87686
338	113369	87284
339	113601	86871
340	113836	86461
341	114165	86124
342	114448	85753
343	114825	85451
344	115379	85280
345	115855	85049
346	116355	84835
347	116658	84477
348	116935	84100
349	117235	83739
350	117597	83423
351	117880	83052
352	118194	82702
353	118493	82343
354	118811	81996
355	119277	81752
356	119565	81384
357	119866	81026
358	120132	80645
359	120434	80289
360	120679	79895
361	120921	79501
362	121180	79117
363	121611	78847
364	121915	78493
365	122180	78115
366	122432	77729
367	122732	77374
368	123148	77092
369	123518	76781
370	123748	76383
371	124235	76144
372	124555	75801
373	124781	75402
374	125295	75177
375	125537	74788
376	125754	74385
377	126176	74103
378	126471	73747
379	126966	73506
380	127383	73220
381	127648	72846
382	127908	72470
383	128260	72146
384	128529	71776
385	128800	71407
386	129008	71004
387	129397	70701
388	129783	70396
389	130181	70097
390	130539	69776
391	131038	69530
392	131339	69178
393	131642	68828
394	131900	68454
395	132176	68090
396	132520	67762
397	132897	67450
398	133201	67101
399	133458	66729
400	133756	66377
401	134033	66016
402	134333	65666
403	134899	65446
404	135195	65093
405	135455	64725
406	135786	64389
407	136057	64026
408	136326	63663
409	136560	63284
410	136775	62896
411	137025	62525
412	137253	62146
413	137484	61768
414	137847	61450
415	138061	61065
416	138324	60703
417	138556	60328
418	138801	59959
419	139029	59584
420	139364	59254
421	139660	58909
422	139920	58548
423	140139	58171
424	140364	57797
425	140564	57413
426	140838	57060
427	141054	56685
428	141366	56348
429	141692	56017
430	142138	55734
431	142605	55457
432	142876	55104
433	143177	54763
434	143414	54398
435	143787	54085
436	144197	53785
437	144406	53410
438	144708	53070
439	144972	52717
440	145276	52378
441	145545	52027
442	146027	51752
443	146294	51400
444	146653	51081
445	146966	50746
446	147258	50403
447	147528	50054
448	147801	49706
449	148096	49365
450	148616	49099
451	149058	48806
452	149316	48453
453	149661	48129
454	149952	47787
455	150194	47429
456	150446	47076
457	150772	46746
458	151374	46500
459	151653	46155
460	151888	45797
461	152264	45481
462	152535	45134
463	152807	44788
464	153213	44481
465	154082	44306
466	154519	44006
467	154822	43668
468	155110	43324
469	155521	43016
470	155815	42675
471	156050	42318
472	156310	41969
473	156558	41616
474	156768	41254
475	157035	40908
476	157277	40555
477	157559	40213
478	157852	39875
479	158296	39574
480	158565	39229
481	158862	38891
482	159303	38589
483	159569	38243
484	159937	37923
485	160161	37568
486	160428	37224
487	160837	36913
488	161113	36571
489	161428	36238
490	161908	35942
491	162170	35598
492	162396	35246
493	162678	34906
494	162937	34562
495	163178	34214
496	163441	33872
497	163730	33535
498	163970	33188
499	164219	32843
500	164461	32498
501	164819	32175
502	165087	31836
503	165390	31502
504	165885	31206
505	166356	30904
506	167207	30671
507	167710	30372
508	168014	30037
509	168405	29718
510	168855	29409
511	169534	29138
512	170158	28857
513	170485	28524
514	170756	28183
515	171012	27839
516	171449	27524
517	171713	27182
518	171956	26837
519	172230	26496
520	172500	26156
521	172746	25812
522	173115	25487
523	173534	25169
524	173826	24832
525	174153	24500
526	174633	24190
527	174915	23852
528	175194	23513
529	175506	23180
530	175857	22851
531	176133	22513
532	176344	22167
533	176615	21828
534	177016	21506
535	177700	21217
536	178003	20883
537	178328	20550
538	178629	20215
539	178902	19878
540	179168	19539
541	179570	19216
542	179820	18876
543	180089	18538
544	180405	18206
545	180750	17876
546	181135	17550
547	181600	17232
548	182135	16919
549	182486	16589
550	182762	16252
551	183064	15918
552	183445	15591
553	183739	15256
554	184016	14920
555	184281	14583
556	184554	14247
557	184972	13922
558	185218	13584
559	185835	13273
560	186097	12937
561	186346	12599
562	186855	12280
563	187241	11951
564	187547	11617
565	187851	11284
566	188093	10947
567	188352	10611
568	188589	10274
569	188846	9939
570	189111	9604
571	189399	9271
572	189754	8941
573	190210	8615
574	190524	8283
575	190874	7953
576	191240	7623
577	191549	7290
578	191864	6958
579	192153	6625
580	192841	6306
581	193205	5975
582	193518	5642
583	193924	5312
584	194574	4989
585	194966	4657
586	195267	4324
587	195565	3991
588	195893	3658
589	196205	3325
590	196447	2991
591	196735	2658
592	197052	2326
593	197403	1993
594	197708	1661
595	198021	1329
596	198333	996
597	199124	665
598	199505	333
599	199845	0
