iter	MultiClass
131	1.062414107
132	1.061568599
133	1.060372479
134	1.059608498
135	1.058143417
136	1.057104478
137	1.05603617
138	1.054624876
139	1.053770913
140	1.053107685
141	1.051791156
142	1.050734922
143	1.049985283
144	1.049058894
145	1.048149975
146	1.047553462
147	1.046468159
148	1.044740323
149	1.043389745
150	1.042169994
151	1.041391682
152	1.04054637
153	1.039387821
154	1.038362178
155	1.03755882
156	1.036640472
157	1.035741247
158	1.034846303
159	1.034020574
160	1.032929612
161	1.032112906
162	1.031246264
163	1.030452178
164	1.029598072
165	1.028720948
166	1.027769241
167	1.026790836
168	1.025689797
169	1.024605442
170	1.023806977
171	1.022381709
172	1.021741684
173	1.02090387
174	1.020154325
175	1.019569778
176	1.019072486
177	1.017929708
178	1.01712827
179	1.016260112
180	1.015353605
181	1.014346413
182	1.013701285
183	1.013034346
184	1.012516738
185	1.011747105
186	1.011107869
187	1.010299001
188	1.00935506
189	1.008577711
190	1.007601666
191	1.006575146
192	1.005651443
193	1.004724349
194	1.003831949
195	1.002745246
196	1.002190019
197	1.001086854
198	1.000374912
199	0.9994898266
200	0.9985953619
201	0.9976056861
202	0.9966332886
203	0.9959929282
204	0.9952320053
205	0.9943034168
206	0.9937380126
207	0.9930288737
208	0.9922516219
209	0.9915301844
210	0.9910883531
211	0.9901553518
212	0.9894528785
213	0.9887525732
214	0.9878345233
215	0.9870009027
216	0.9861308265
217	0.9856521211
218	0.9850637909
219	0.9846205468
220	0.983922285
221	0.9831151574
222	0.9823879411
223	0.9817685892
224	0.9811784306
225	0.9805487045
226	0.9799759904
227	0.979257443
228	0.9786879261
229	0.9777601109
230	0.9772883706
231	0.97650652
232	0.9756690738
233	0.9751148607
234	0.974352578
235	0.9739588843
236	0.9732776692
237	0.9722364842
238	0.971404885
239	0.9706971313
240	0.9700592136
241	0.9695763075
242	0.9690178756
243	0.9683679108
244	0.9680492626
245	0.9672612148
246	0.966641091
247	0.9658269551
248	0.9649066984
249	0.9643703324
250	0.9638196972
251	0.9631834823
252	0.962524697
253	0.9617473887
254	0.9609389846
255	0.9600397227
256	0.9592634766
257	0.9586968252
258	0.9581691161
259	0.9576231116
260	0.9567084958
261	0.9559321912
262	0.9548394189
263	0.9541242222
264	0.9535027394
265	0.9531410419
266	0.9525307546
267	0.9519494079
268	0.9512810524
269	0.9506911508
270	0.9499104167
271	0.9493560146
272	0.948775246
273	0.9482531746
274	0.9469187269
275	0.9464709371
276	0.9457477249
277	0.9447391783
278	0.9442577156
279	0.9432529279
280	0.9426563906
281	0.9422925025
282	0.9414353547
283	0.9406430006
284	0.9394637691
285	0.9387342015
286	0.937887314
287	0.9370871907
288	0.9363822717
289	0.9356943668
290	0.9349488995
291	0.9342359315
292	0.9333695382
293	0.9329966697
294	0.9321310429
295	0.9314084863
296	0.9305763342
297	0.9298246394
298	0.929201089
299	0.9285689901
300	0.9279741671
301	0.9272359152
302	0.926501985
303	0.9259107266
304	0.9250768388
305	0.9244976536
306	0.9239021787
307	0.9232472606
308	0.9223260925
309	0.9214553112
310	0.9206964085
311	0.9199450624
312	0.9190455563
313	0.9186207481
314	0.9179429353
315	0.9174986614
316	0.9168278122
317	0.9163559437
318	0.9155883467
319	0.914960741
320	0.9144591412
321	0.9137468755
322	0.9129281019
323	0.912431004
324	0.9116797783
325	0.9109494323
326	0.910235803
327	0.9096884495
328	0.9092594971
329	0.9085291668
330	0.9079880883
331	0.9071688779
332	0.9065637922
333	0.9058256116
334	0.9053531212
335	0.9047846778
336	0.9040661967
337	0.9035195188
338	0.9029939228
339	0.9018035829
340	0.9010424117
341	0.9003652856
342	0.899817524
343	0.8989872571
344	0.8983634207
345	0.8977704013
346	0.8972226902
347	0.8966111276
348	0.8958603242
349	0.8953188867
350	0.8946103728
351	0.8940147604
352	0.8932981054
353	0.892726836
354	0.8921922103
355	0.8912110208
356	0.8906081319
357	0.8902110658
358	0.889765312
359	0.8893161951
360	0.8883328043
361	0.8878475996
362	0.8872551785
363	0.8869019184
364	0.8863795292
365	0.8856786352
366	0.8851900236
367	0.8848015153
368	0.8842975551
369	0.883792275
370	0.8829681096
371	0.8826400324
372	0.8818014045
373	0.8810555809
374	0.8805395401
375	0.8800774205
376	0.8795272585
377	0.8789489512
378	0.8786208426
379	0.8777083079
380	0.8773300407
381	0.8771011484
382	0.8763641085
383	0.8758364617
384	0.8751874306
385	0.874826861
386	0.8739356568
387	0.8735585884
388	0.8729281448
389	0.8723858868
390	0.8718579848
391	0.8712721915
392	0.8708587915
393	0.8702445373
394	0.869961029
395	0.8693862638
396	0.8688828518
397	0.8683963952
398	0.8681030826
399	0.8676067962
400	0.8669022938
401	0.8663253132
402	0.8658670708
403	0.8653031137
404	0.8649173285
405	0.8644484098
406	0.8636078348
407	0.8631046942
408	0.8627368042
409	0.8623133735
410	0.86185678
411	0.8614528142
412	0.8608269182
413	0.8599053304
414	0.8592153394
415	0.8586775883
416	0.8580870401
417	0.8574449859
418	0.8567334889
419	0.8562073805
420	0.8555834041
421	0.8544238182
422	0.8540964353
423	0.8535722651
424	0.8533453349
425	0.853090682
426	0.8525532191
427	0.8519528485
428	0.8514684489
429	0.851040691
430	0.8505099191
431	0.8499458086
432	0.8493634992
433	0.8490546502
434	0.8485581119
435	0.8478332219
436	0.847404437
437	0.8469518929
438	0.8464411245
439	0.8457924076
440	0.8453966767
441	0.8446000021
442	0.8438968987
443	0.8432669818
444	0.8427812354
445	0.842491834
446	0.8419573742
447	0.8416388103
448	0.8410172254
449	0.8406152372
450	0.8402564186
451	0.8396689845
452	0.8388963713
453	0.8381075232
454	0.8375884418
455	0.8371929294
456	0.8365957852
457	0.8359637514
458	0.8354406897
459	0.8350683635
460	0.8343674771
461	0.8336982357
462	0.8329714143
463	0.8325939969
464	0.8322171631
465	0.83181924
466	0.8309824422
467	0.8303963831
468	0.8302004049
469	0.829121069
470	0.8286716414
471	0.8278202398
472	0.8276262109
473	0.8272800713
474	0.8269535427
475	0.8264457797
476	0.8259150278
477	0.8254248011
478	0.8250811226
479	0.8243869013
480	0.8240566548
481	0.8236657032
482	0.8230457466
483	0.822667382
484	0.822223707
485	0.821776949
486	0.8213072709
487	0.8206513679
488	0.8203370778
489	0.8200985123
490	0.8197391994
491	0.8192614916
492	0.818741057
493	0.8177496202
494	0.8169609089
495	0.8165716861
496	0.8161941835
497	0.8158412886
498	0.8151543893
499	0.8146004655
500	0.8140464172
501	0.8137327954
502	0.8132648358
503	0.8127110831
504	0.8125115351
505	0.8117378364
506	0.8110970565
507	0.8107880886
508	0.8103179043
509	0.8097911803
510	0.8094616999
511	0.8089364206
512	0.8084735824
513	0.8077803219
514	0.8075627239
515	0.8068672501
516	0.8064478433
517	0.8060933153
518	0.8058083428
519	0.8053487901
520	0.8047670284
521	0.8043106527
522	0.8040034746
523	0.803530961
524	0.8031057261
525	0.802635549
526	0.8018964391
527	0.8014454111
528	0.8008599711
529	0.800498538
530	0.7999941685
531	0.7993535777
532	0.7990770345
533	0.7981825288
534	0.7977626723
535	0.7972293013
536	0.7968124225
537	0.7962432759
538	0.7959089174
539	0.7953374293
540	0.7949320795
541	0.7941477908
542	0.7938175601
543	0.7934914803
544	0.7930761356
545	0.7926037202
546	0.7920966397
547	0.7913899186
548	0.7910702518
549	0.7900794206
550	0.7896233247
551	0.7892475659
552	0.7887827824
553	0.7883980997
554	0.7880131981
555	0.7877999979
556	0.7875964257
557	0.787015928
558	0.7865344379
559	0.7861365562
560	0.7856305237
561	0.7849545511
562	0.7844267723
563	0.7840805187
564	0.7836079635
565	0.7835164426
566	0.7831894122
567	0.7826120231
568	0.7821294676
569	0.7814967678
570	0.7806538308
571	0.7804239805
572	0.7796524001
573	0.77928658
574	0.7787433779
575	0.7782304735
576	0.7777551911
577	0.7771737898
578	0.7770616507
579	0.7766423115
580	0.7761336287
581	0.7755155447
582	0.7750481986
583	0.774480716
584	0.7739068244
585	0.7736628099
586	0.773440793
587	0.7729843663
588	0.7726227501
589	0.7723535635
590	0.7717938869
591	0.771494059
592	0.7707147204
593	0.7701300832
594	0.7695765287
595	0.7691208152
596	0.7688415407
597	0.768411258
598	0.7680412193
599	0.7675390845
